restaurant_id,name,area,primary_cuisine,price_min,price_max,rating,distance_min,food_score,vibe_score,value_score,quiet_score,group_score,photo_score,waiting_risk,address,food_type,review_count,lat,lng,distance_km_from_ntu_ref,walking_minutes_from_ntu_ref,reservation_available,vegetarian_friendly,is_chain,opening_hours_note,payment_note,personality_type,positive_tag_candidates,negative_tag_candidates,occasion_candidates,recommended_dish_candidates,source_url,google_redirect_url,data_source,data_status,collected_at,notes,one_sentence_summary
r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,Gongguan / NTU,Japanese,400,600,4.6,13,3.64,4.6,4.3,2.5,3.2,3,4,100臺北市中正區水源里羅斯福路四段50-1號1樓,Japanese|BBQ,1809,25.0142,121.5338,0.9,13,yes,unknown,yes,lunch and dinner; reservation recommended,cash|card,Risky Solo Grill Pick,all-you-can-eat deal|spicy seasoning|solo-friendly|budget yakiniku|casual dining,unstable heat|weak grill heat|equipment maintenance issue|slow cooking|slow service|cleanliness issue|crowded|uncomfortable seating|limited staff|side dish delay,solo meal|friends gathering|casual dinner|meat craving|quick yakiniku near campus,招牌月見雞肉棒子|極上松阪豬|美國熟成橫隔膜|美國頂級椒鹽牛小排|薄切牛舌|薄切牛五花|椒鹽雞腿肉|百香果冰沙,https://maps.app.goo.gl/D8ujzgoPZkAu35UFA,"""https://www.google.com/maps/place/%E4%B8%AD%E6%AD%A3%EF%BD%9C%E7%87%92%E8%82%89%E6%94%BF%E5%AE%97+YAKINIKU+MASAMUNE/@25.0150901",,,,,
r002,築本屋公館店,Gongguan / NTU,Japanese,180,350,4.7,12,4.63,4.35,4.7,2.5,3.2,3,4,100臺北市中正區水源里羅斯福路四段52巷6號,Japanese|Tonkatsu,2225,25.0147779,121.5336933,0.67,12,unknown,unknown,yes,lunch and dinner,cash,Hungry Student Saver,student-friendly|cheap|large portion|filling meal|refillable rice|refillable cabbage|crispy tonkatsu|safe choice|near NTU,crowded|small space|noisy|fried food can feel greasy|thick batter|popular items may sell out|limited seating,solo meal|student meal|casual lunch|casual dinner|quick meal|friends meal,牛丼|醬燒牛五花定食|腰內豬排定食|唐揚雞|豬排飯,https://maps.app.goo.gl/iaYpGRms9JCrsS8q8,"""https://www.google.com/maps/place/%E7%AF%89%E6%9C%AC%E5%B1%8B%E5%85%AC%E9%A4%A8%E5%BA%97/@25.0147779",,,,,
r003,想聚 Mr.Jardeng,Gongguan / NTU,Brunch,250,600,4.7,12,4.63,4.9,4.3,3.3,4.5,4.5,2,100臺北市中正區水源里羅斯福路四段148號一樓,Western|Bistro|Cafe,2068,25.0126698,121.5359633,0.64,12,yes,yes,no,lunch and dinner,cash,Date Night Pick,creative dishes|photogenic plating|cozy atmosphere|group-friendly|family-friendly|board-game friendly|friendly service|birthday perk|good for photos|unique menu,price slightly high|some dishes inconsistent|dry fried chicken|souffle cream too salty|some dishes look better than taste,friends gathering|family gathering|date|birthday meal|board game meal|casual lunch|casual dinner,黑白大廚雙人套餐|拔絲麻辣豆腐|墨魚燉飯|臭豆腐義大利麵|松露義大利麵|維納斯的蛋生|豬排|巧克力舒芙蕾,https://maps.app.goo.gl/4CthiWvWuvbYwemg8,"""https://www.google.com/maps/place/%E6%83%B3%E8%81%9A+Mr.Jardeng/@25.0142214",,,,,
r004,Second Floor 貳樓公館店,Gongguan / NTU,Brunch,300,650,4.3,14,4.17,4.5,3.5,3.3,4.5,4.5,1.8,100臺北市中正區文盛里羅斯福路三段316巷9弄5號,Western|Brunch|Cafe,5738,25.0157152,121.5315785,0.84,14,yes,yes,yes,lunch and dinner; reservation recommended,cash|card,Group Gathering Place| Family Gathering Place,family-friendly|kid-friendly|pet-friendly|friendly service|spacious seating|good atmosphere|photogenic|group-friendly|reservation available|unlimited drinks|child meal promotion,food quality inconsistent|fried food not recommended|pasta can be dry|price slightly high|weekend waiting|reservation recommended|popular during meal time,family gathering|friends gathering|brunch|casual dinner|kid-friendly meal|pet-friendly meal|photo-friendly meal,厚烤奶油 Ham 三明治|焗厚切豬排奶油飯|森森奶油起司飯|青醬義大利麵|燻鮭魚|麵包|美式咖啡,https://maps.app.goo.gl/m3CJ8SZ5hQHyRWVF7,"""https://www.google.com/maps/place/Second+Floor+%E8%B2%B3%E6%A8%93%E5%85%AC%E9%A4%A8%E5%BA%97/@25.0156839",,,,,
r005,JJ's POKE & CAFE 鮮魚沙拉飯,Gongguan / NTU,Healthy,220,420,4.1,12,4.18,4.3,4.3,2.5,3.2,4.5,4,100臺北市中正區水源里汀州路三段160巷4號,Poke|Healthy|Cafe,1478,25.0134093,121.5342606,0.7,12,unknown,partial,yes,lunch and dinner,cash|card|line pay,Healthy Quick Pick,healthy|fresh ingredients|clean environment|relaxing vibe|customizable bowl|large portion|refreshing|filling|many seats|fast turnover|Line Pay available,self-service cleanup|parking inconvenient|crowded during peak time|cold food may not suit everyone|limited toppings|starch-heavy toppings|slightly pricier than nearby alternatives,healthy lunch|quick meal|solo meal|casual dinner|post-workout meal|light meal|takeout,鮮蝦沙拉飯|牛肉丸沙拉飯|烤雞沙拉飯|莎莎醬|胡麻醬,https://maps.app.goo.gl/FDotVTGDG3VUWUNH6,"""https://www.google.com/maps/place/JJ's+POKE+%26+CAFE+%E9%AE%AE%E9%AD%9A%E6%B2%99%E6%8B%89%E9%A3%AF/@25.0138318",,,,,
r006,壽司郎 台北公館店,Gongguan / NTU,Japanese,250,600,4,12,4.01,4,4,2.5,3.2,3,4,100臺北市中正區水源里羅斯福路四段68號2樓,Japanese|Sushi|Conveyor Belt,3676,25.0145752,121.5341988,0.64,12,yes,partial,yes,lunch and dinner; reservation recommended,cash|card|mobile payment,Group Gathering Place,variety of sushi|stable quality|fresh salmon|fresh fish|reasonable price|limited-time menu|convenient location|good for casual sushi|good service,crowded during meal time|small waiting area|reservation recommended|time limit|side dishes are average|small portion|some items inconsistent|price increase,casual dinner|friends gathering|solo meal|quick sushi meal|family meal|sushi craving,天婦羅握壽司|生鮭魚壽司|鮪魚大腹|流心巧克力|沙拉聖代|拉麵|烏龍麵,https://maps.app.goo.gl/wgvNR7APWNwC4XrJ8,"""https://www.google.com/maps/place/%E3%82%B9%E3%82%B7%E3%83%AD%E3%83%BC%E5%A3%BD%E5%8F%B8%E9%83%8E+%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97/@25.014009",,,,,
r007,鳳城燒臘粵菜,Gongguan / NTU,Cantonese,120,300,4,12,4.22,3.65,4.7,2.5,3.2,2.8,1.8,106臺北市大安區大學里新生南路三段58之3號,Cantonese|Roast Meat|Rice,6313,25.0202791,121.5338184,0.68,12,no,no,no,lunch and dinner,cash,Serious Foodie Spot,classic roast meat|old-school Cantonese|large portion|good value|fast serving|takeout-friendly|Line pre-order|free tea|rich roast aroma|student-friendly|local favorite,crowded during meal time|shared table likely|cash only|simple environment|limited side dishes|can feel greasy|queue during peak time|not atmosphere-focused,solo meal|student meal|quick lunch|quick dinner|takeout|casual meal|meat craving|friends meal,招牌三寶飯|燒肉飯|燒鴨|叉燒|油雞|雞腿|咕咾肉|蝦仁炒飯|滑蛋豬肉|高麗菜,https://maps.app.goo.gl/LpdwrrkRV2b2umYe9,"""https://www.google.com/maps/place/%E9%B3%B3%E5%9F%8E%E7%87%92%E8%87%98%E7%B2%B5%E8%8F%9C/@25.0202633",,,,,
r008,稻咖哩,Gongguan / NTU,Curry,160,320,4.4,13,4.46,4.25,4.7,2.5,3.2,3,1.8,106臺北市大安區大學里溫州街79號,Curry|Japanese Curry,1834,25.0199922,121.5330537,0.74,13,unknown,unknown,no,lunch and dinner,cash|mobile payment,Hungry Student Saver,rich curry|serious main dishes|large portion|fast serving|clean environment|good value|student-friendly|friendly service|customizable rice amount|kid-friendly service|good meat quality,limited seats|small space|flavor can be salty|rice texture can be average|not ideal for large group|crowded during meal time,solo meal|student meal|quick lunch|quick dinner|casual dinner|friends meal|rainy day comfort meal|curry craving,牛肋排咖哩|炙燒豬肉咖哩|雙拼黑咖哩|炙烤豚肉|舒肥雞|炙燒豬肉|雞肉咖哩|半熟蛋,https://maps.app.goo.gl/ytvwVo7iBunRy8Jg6,"""https://www.google.com/maps/place/%E7%A8%BB%E5%92%96%E5%93%A9/@25.020016",,,,,
r009,泰街頭,Gongguan / NTU,Thai,180,380,3.9,14,4.19,3.75,4.7,2.5,3.2,4.5,4,10648臺北市大安區大學里溫州街74巷6號1樓,Thai|Southeast Asian,2346,25.0197316,121.5321851,0.81,14,unknown,no,no,lunch and dinner,cash|mobile payment,Serious Foodie Spot,authentic Thai flavor|student-friendly|large portion|high CP value|photogenic Thai street vibe|good Thai milk tea|good curry|digital payment available|no service charge,crowded during meal time|small seating space|some dishes can be salty or sour|flavor can feel greasy|queue during peak time|not ideal for quiet dining,student meal|friends dinner|casual Thai meal|Thai food craving|photo-friendly meal|quick dinner,椰汁咖喱炸豬五花飯|泰東北烤雞腿飯|椰汁咖哩雞腿飯|月亮蝦餅|泰式奶茶|紅咖哩|冬蔭功蝦湯,https://maps.app.goo.gl/yp5yQDzSng1qAcqw9,"""https://www.google.com/maps/place/%E6%B3%B0%E8%A1%97%E9%A0%AD/@25.0197317",,,,,
r010,何太守港式菠蘿包專賣店,Gongguan / NTU,Bakery,80,220,4.4,14,4.46,4.4,5,3.3,3.2,3,2,100臺北市中正區文盛里汀州路三段167號,Hong Kong|Bakery|Snack,581,25.0152126,121.532253,0.79,14,no,unknown,no,11am -20pm,cash|mobile payment,Photo-First Snack Stop,cheap snack|crispy crust|buttery aroma|sweet and salty|stable quality|takeout-friendly|LINE Pay available|open until late|near MRT,can feel oily when cold|best eaten hot|limited seating|not suitable for full meal,takeout|quick snack|dessert snack|late-night snack|MRT snack stop,冰火菠蘿包|冰火菠蘿油|原味菠蘿|脆皮年糕,https://maps.app.goo.gl/AQnTnb9KX2WnRY6L9,"""https://www.google.com/maps/place/%E4%BD%95%E5%A4%AA%E5%AE%88%E6%B8%AF%E5%BC%8F%E8%8F%A0%E8%98%BF%E5%8C%85%E5%B0%88%E8%B3%A3%E5%BA%97/@25.0152288",,,,,
r011,馬辣頂級麻辣鍋 台北公館店,Gongguan / NTU,Hot Pot,700,1100,4.2,13,4.35,4.05,2.5,2.5,4.5,4.5,2,100臺北市中正區水源里汀州路三段94號,Hot Pot|Mala|All-you-can-eat,6776,25.0144984,121.5328188,0.77,13,yes,yes,yes,lunch and dinner,cash|card|mobile payment,Group Gathering Place,all-you-can-eat hot pot|late-night dining|unlimited meat|unlimited seafood|unlimited alcohol|wide variety|renovated interior|good atmosphere|group-friendly|dessert bar|fresh ingredients|photo-friendly,price high|soup base can be average|noisy|time limit|alcohol caution|not ideal for quiet dining|value depends on appetite,late-night meal|friends gathering|group dinner|celebration meal|hot pot craving|seafood craving|photo-friendly meal,經典麻辣鍋|港式花雕雞|極上三和牛|巨大海虎蝦|阿根廷天使紅蝦|鮮蚵|白蝦|壽喜燒牛丼|安格斯牛黑咖哩|黃金滷肉飯|哈根達斯|莫凡彼,https://maps.app.goo.gl/6oU9CZ5DVdr8A66N8,"""https://www.google.com/maps/place/%E9%A6%AC%E8%BE%A3%E9%A0%82%E7%B4%9A%E9%BA%BB%E8%BE%A3%E9%8D%8B+%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97/@25.0144364",,,,,
